Part_Number,Supplier,Description,Supplier_Location_Code,Added,Last_Modification,,,,,
N120043B-FDNCAC,KOA CORPORATION,RES,TF,20KOHMS,1%,63MW,0,80004924,default,
N120043B-FDNCAD,KAMAYA INC.,RES,TF,20KOHMS,1%,63MW,80004869,default,,
N120043B-FENAAC,KAMAYA INC.,RES,TF,20KOHMS,1%,100MW,,80004869,default,
N120045B-FDMCAC,KAMAYA INC.,RES,TF,20KOHMS,5%,63MW,0,80004869,default,
N120045B-FDMCAD,KOA CORPORATION,RES,TF,20KOHMS,5%,63MW,0,80004924,default,
N120045B-FEMAAC,KAMAYA INC.,RES,TF,20KOHMS,5%,100MW,,80004869,default,
N120045B-FFMAAE,KOA CORPORATION,RES,TF,20KOHMS,5%,125MW,,80004924,default,
N120045B-FJMAAE,KAMAYA INC.,RES,TF,20KOHMS,5%,250MW,,80004869,default,
N120045B-FNMDAC,KOA CORPORATION,RES,TF,20KOHMS,5%,250MW,,80004924,default,
N120047B-FDTCAD,ROHM CO LTD,RES,TF,20KOHMS,0.50%,63MW,,80004918,default,
N120047B-FFNAAC,KAMAYA INC.,RES,TF,20KOHMS,0.50%,125MW,80004869,default,,
N120053B-FENAAC,KAMAYA INC.,RES,TF,100KOMHS,1%,100MW,80004869,default,,
N120055B-FDMCAD,KOA CORPORATION,RES,TF,200KOHMS,5%,100MW,80004924,default,,
N120055B-FEMAAC,KAMAYA INC.,RES CHIP 0805,80004869,default,,,,,,
N120093B-FJNAAE,KOA CORPORATION,RES-TF 200MOHM,1%,250MW,,80004924,default,,,
N120533B-FENAAC,KOA CORPORATION,RESISTOR CHIP,80004924,default,,,,,,
N120543B-FENAAC,KOA CORPORATION,CHIP RESISTOR 1% 20.5K,80004924,default,,,,,,
N121033B-FENAAC,KOA CORPORATION,RESISTOR CHIP,80004924,default,,,,,,
N121543B-FENAAC,KOA CORPORATION,CHIP RESISTOR 1% 21.5K,80004924,default,,,,,,
N1220130-FJHAJB,VISHAY,RES,WW,22OHMS,5%,5W,WSR2,80004877,default,
N122013R-FGGAGA,KOA CORPORATION,RESISTOR - RAP,80004924,default,,,,,,
N122015B-FDMCAC,KOA CORPORATION,22200PPM SM RES-THICK FI,80004924,default,,,,,,
N122015B-FDMCAD,KOA CORPORATION,RES,TF,22OHMS,5%,63MW,6,80004924,default,
N122015B-FEMAAC,KAMAYA INC.,RES,TF,22OHMS,5%,100MW,0,80004869,default,
N122015B-FFMAAE,KOA CORPORATION,RES,TF,22OHMS,5%,125MW,1,80004924,default,
N122015B-FKMCAF,KOA CORPORATION,RES,TF,22OHMS,5%,500MW,2,80004924,default,
N122023R-FEBAEA,KOA CORPORATION,RES,CF,220OHMS,5%,500MW,,80004924,default,
N122025B-FEMAAC,KAMAYA INC.,RES,TF,220OHMS,5%,100MW,,80004869,default,
N122025B-FFMAAE,KOA CORPORATION,RES,TF,220OHMS,5%,125MW,,80004924,default,
N122025B-FJMAAE,KAMAYA INC.,RES,TF,220OHMS,5%,250MW,,80004869,default,
N122033R-FDBADA,KOA CORPORATION,RES,CF,2.2KOHMS,5%,250MW,80004924,default,,
N122035B-FDMCAD,KOA CORPORATION,RES,TF,2.2KOHMS,5%,63MW,,80004924,default,
N122035B-FEMAAC,KAMAYA INC.,RES,TF,2.2KOHMS,5%,100MW,80004869,default,,
N122035B-FFMAAE,KOA CORPORATION,RES,TF,2.2KOHMS,5%,125MW,80004924,default,,
N122035B-FJMAAE,KAMAYA INC.,RES,TF,2.2KOHMS,5%,250MW,80004869,default,,
N122035B-FNMDAC,KOA CORPORATION,RES,TF,2.2KOHMS,5%,250MW,80004924,default,,
N122045B-FDMCAD,KOA CORPORATION,RES,TF,22KOHMS,5%,63MW,0,80004924,default,
N122045B-FEMAAC,KAMAYA INC.,RES,TF,22KOHMS,5%,100MW,,80004869,default,
N122045B-FFMAAE,KOA CORPORATION,RES,TF,22KOHMS,5%,125MW,,80004924,default,
N122045B-FJMAAE,KOA CORPORATION,RES,TF,22KOHMS,5%,250MW,,80004924,default,
N122055B-FEMAAC,KOA CORPORATION,RES-CHIP 0805 220K OHM,80004924,default,,,,,,
N122065B-FDMCAD,KOA CORPORATION,RESISTOR 0603,80004924,default,,,,,,
N122123B-FENAAC,KOA CORPORATION,RESISTOR,80004924,default,,,,,,
N122133B-FDMCAD,KOA CORPORATION,RES,SMD,2.21K,1%,63MW,6,80004924,default,
N122133B-FDNCAD,KAMAYA INC.,RES,TF,2.21KOHMS,1%,63MW,80004869,default,,
N122133B-FENAAC,KOA CORPORATION,RES,TF,2.21KOHMS,1%,100M,80004924,default,,
N122153B-FENAAC,KOA CORPORATION,RES.221K(1% 1/10W 0805 P,80004924,default,,,,,,
N122163B-FENAAC,KOA CORPORATION,RES,TF,2.21MOHMS,1%,100M,80004924,default,,
N123223B-FENAAC,KAMAYA INC.,RES,TF,232OHMS,1%,100MW,,80004869,default,
N123233B-FENAAC,KAMAYA INC.,RES CHIP,80004869,default,,,,,,
N123713B-FFNAAE,KAMAYA INC.,RES-TF 23.7OHM,1%,250MW,80004869,default,,,,
N124013R-FGGAGA,KOA CORPORATION,RES,MO,24OHMS,5%,3W,AXIA,80004924,default,
N124015B-FDMCAD,KOA CORPORATION,RES,TF,24OHMS,5%,63MW,6,80004924,default,
N124015B-FEMAAC,KOA CORPORATION,RES,TF,24OHMS,5%,100MW,0,80004924,default,
N124023W-FEGBGB,KOA CORPORATION,RES,MO,240OHMS,5%,1W,VIM,80004924,default,
N124025B-FDMCAD,KOA CORPORATION,RES, TF,240 OHMS,5%,63MW,80004924,default,,
N124025B-FFMAAE,KOA CORPORATION,RES,TF,240OHMS,5%,125MW,,80004924,default,
N124025B-FKMCAF,KOA CORPORATION,RES (CHIP)-NAAO SWITCHES,80004924,default,,,,,,
N124035B-FDMCAD,KOA CORPORATION,RES,TF,2.4KOHMS,5%,63MW,,80004924,default,
N124035B-FEMAAC,KOA CORPORATION,RES CHIP 2.4K OHM 0805,80004924,default,,,,,,
N124035B-FFMAAE,KOA CORPORATION,RES,TF,2.4KOHMS,5%,125MW,80004924,default,,
N124035B-FJMAAE,KAMAYA INC.,RES,TF,2.4KOHMS,5%,250MW,80004869,default,,
N124035B-FJMCAE,KOA CORPORATION,RES,TF,2.4KOHMS,5%,250MW,80004924,default,,
N124045B-FDMCAD,KOA CORPORATION,RES,SMD,24K,5%,63MW,06X0,80004924,default,
N124055B-FDMCAD,KAMAYA INC.,RES,SMD,240K0OHMS,5%63MW,80004869,default,,,
N124943B-FENAAC,KOA CORPORATION,RES,TF,24.9KOHMS,1%,100M,80004924,default,,
N124953B-FDMCAD,KAMAYA INC.,RES-TF 249KOHM,1%,100MW,,80004869,default,,,
N124953B-FENAAC,KAMAYA INC.,RES. CHIP ( 249K 100MW 1,80004869,default,,,,,,
N126143C-FENAAC,KAMAYA INC.,RES,TF,26.1KOHMS,1%,125M,80004869,default,,
N126147B-FETAAC,KOA CORPORATION,RES-TF 26.1KOHM,0.50%,125M,80004924,default,,,,
N126733B-FDMCAD,KOA CORPORATION,RES,SMD,2.67KOHMS,1%,63M,80004924,default,,
N126743B-FENAAC,KOA CORPORATION,RES,TF,26.7KOHMS,1%,100M,80004924,default,,
N127015B-FDMCAD,KOA CORPORATION,RES TF 270 OHMS 5% 63MW,80004924,default,,,,,,
N127015B-FEMAAC,KAMAYA INC.,RESISTOR-CHIP,80004869,default,,,,,,
N127023R-FFGAFA,KOA CORPORATION,RESISTOR - 270 OHM, 2W,,80004924,default,,,,
N127025B-FDMCAC,KOA CORPORATION,RES,TF,270OHMS,5%,63MW,0,80004924,default,
N127025B-FDMCAD,KOA CORPORATION,RESISTOR 0603,80004924,default,,,,,,
N127025B-FFMAAE,KOA CORPORATION,RES,TF,270OHMS,5%,125MW,,80004924,default,
N127025B-FJMAAE,KOA CORPORATION,RES,TF,270OHMS,5%,250MW,,80004924,default,
N127035B-FDMCAD,KOA CORPORATION,RES,TF,2.7KOHMS,5%,63MW,,80004924,default,
N127035B-FEMAAC,KAMAYA INC.,RES,TF,2.7KOHMS,5%,100MW,80004869,default,,
N127035B-FFMAAE,KOA CORPORATION,RES,TF,2.7KOHMS,5%,125MW,80004924,default,,
N127035B-FJMAAE,KOA CORPORATION,RES,TF,2.7KOHMS,5%,250MW,80004924,default,,
N127045B-FDMCAD,KOA CORPORATION,RES,TF,27KOHMS,5%,63MW,0,80004924,default,
N127045B-FEMAAC,KAMAYA INC.,RES,TF,27KOHMS,5%,100MW,,80004869,default,
N127045B-FFMAAE,KOA CORPORATION,RESISTOR CHIP R701,767,80004924,default,,,,,
N127055B-FEMAAC,KOA CORPORATION,RES-CHIP 0805 270K OHM,80004924,default,,,,,,
N127142B-FDRCAD,KOA CORPORATION,RES,MF,27.1KOHMS,0.10%,63M,80004924,default,,
N127447B-FDTCAD,KAMAYA INC.,RES,TF,27.4KOHMS,0.50%,63M,80004869,default,,
N128033B-FENAAC,KOA CORPORATION,RES,TF,2.8KOHMS,1%,125MW,80004924,default,,
N129443B-FDNCAD,KAMAYA INC.,RES,TF,29.4KOHMS,1%,63MW,80004869,default,,
N129443B-FENAAC,KAMAYA INC.,RES 29.4K 1% CHIP,80004869,default,,,,,,
N129453B-FENAAC,KOA CORPORATION,RES,SMD,294K,1%,100MW,8,80004924,default,
N130015B-FDMCAD,KAMAYA INC.,RES,TF,30OHMS,5%,63MW,6,80004869,default,
N130015B-FFMAAE,KAMAYA INC.,RES,TF,30OHMS,5%,125MW,1,80004869,default,
N130023R-FEBAEA,KOA CORPORATION,RES,CF,300OHMS,5%,500MW,,80004924,default,
N130023R-FFGAFA,KOA CORPORATION,RES,MO,300OHMS,5%,2W,AXI,80004924,default,
N130025B-FDMCAD,KOA CORPORATION,RESISTOR 0603,80004924,default,,,,,,
N130035B-FDMCAD,KOA CORPORATION,RES,TF,3KOHMS,5%,63MW,6,80004924,default,
N130035B-FFMAAE,KOA CORPORATION,RES CHIP 1206,80004924,default,,,,,,
N130035B-FJMAAE,KAMAYA INC.,RES,TF,3KOHMS,5%,250MW,1,80004869,default,
N130043B-FDNCAC,KOA CORPORATION,RES,TF,30KOHMS,1%,63MW,0,80004924,default,
N130043B-FDNCAD,KAMAYA INC.,RES,TF,30KOHMS,1%,63MW,0,80004869,default,
N130045B-FDMCAD,KOA CORPORATION,RES,TF,30KOHMS,5%,63MW,0,80004924,default,
N130045B-FEMAAC,KAMAYA INC.,RES,TF,30KOHMS,5%,100MW,,80004869,default,
N130045B-FNMDAC,KOA CORPORATION,RES,TF,30KOHMS,5%,250MW,,80004924,default,
N130055B-FDMCAD,KOA CORPORATION,RES,SMD,300K,5%,63MW,60,80004924,default,
N130123B-FDNCAD,KOA CORPORATION,S197 DI RES-TF 301OHM,1%,80004924,default,,,,,
N130133B-FENAAC,KAMAYA INC.,RESISTOR,80004869,default,,,,,,
N130143B-FENAAC,KAMAYA INC.,RES,TF,30.1KOHMS,1%,100M,80004869,default,,
N131242B-FDRCAD,KOA CORPORATION,RES,MF,31.2KOHMS,0.10%,63M,80004924,default,,
N131613B-FJNAAE,KAMAYA INC.,RES,TF,31.6OHMS,1%,250MW,80004869,default,,
N131633B-FDNCAD,KAMAYA INC.,RES,TF,3.16KOHMS,1%,63MW,80004869,default,,
N131643B-FDNCAD,KAMAYA INC.,RES,TF,31.6KOHMS,1%,63MW,80004869,default,,
N131643B-FENAAC,KOA CORPORATION,RESISTOR CHIP,80004924,default,,,,,,
N1330130-FJKAJA,VISHAY,RES,WW,33OHMS,5%,5W,AXIA,80004877,default,
N133015B-FDMCAD,KAMAYA INC.,RES, SMD 33 OHMS 5%, 63M,80004869,default,,,,
N133015B-FEMAAC,KAMAYA INC.,RESISTOR SMD 33 5% 0805,80004869,default,,,,,,
N133023M-FDBBGB,KOA CORPORATION,RESISTOR,80004924,default,,,,,,
N133023R-FDBADA,KOA CORPORATION,RESISTOR CHIP,80004924,default,,,,,,
N133025B-FDMCAD,KOA CORPORATION,RES,TF,330OHMS,5%,63MW,0,80004924,default,
N133025B-FEMAAC,KOA CORPORATION,RES CHIP 0805 330O,80004924,default,,,,,,
N133025B-FJMAAE,KAMAYA INC.,RES,SMD,330,5%,250MW,120,80004869,default,
N133033R-FEBAEA,KOA CORPORATION,RES,CF,3.3KOHMS,5%,500MW,80004924,default,,
N133035B-FDMCAC,KOA CORPORATION,RES,TF,3.3KOHMS,5%,63MW,,80004924,default,
N133035B-FDMCAD,KOA CORPORATION,RES,TF,3.3KOHMS,5%,63MW,,80004924,default,
N133035B-FEMAAC,KAMAYA INC.,RES,TF,3.3KOHMS,5%,100MW,80004869,default,,
N133035B-FFMAAE,KOA CORPORATION,RES,TF,3.3KOHMS,5%,125MW,80004924,default,,
N133035B-FJMAAE,KOA CORPORATION,RES,TF,3.3KOHMS,5%,250MW,80004924,default,,
N133043B-FENAAC,KAMAYA INC.,RES,TF,33KOHMS,1%,100MW,,80004869,default,
N133043B-FFNAAE,KAMAYA INC.,RES,TF,33KOHMS,1%,125MW,,80004869,default,
N133045B-FDMCAC,KOA CORPORATION,33K 200PPM RES CHIP0402,80004924,default,,,,,,
N133045B-FDMCAD,KOA CORPORATION,RES,TF,33KOHMS,5%,63MW,0,80004924,default,
N133045B-FEMAAC,KAMAYA INC.,RES,TF,33KOHMS,5%,100MW,,80004869,default,
N133055B-FDMCAD,KOA CORPORATION,RES,TF,330KOHMS,5%,63MW,,80004924,default,
N133223B-FJNAAE,KAMAYA INC.,RES,TF,332OHMS,1%,250MW,,80004869,default,
N133233B-FDMCAD,KOA CORPORATION,RES, SMD, 3.32K,1%, 63M,80004924,default,,
N133233B-FENAAC,KOA CORPORATION,RES,TF,3.32KOHMS,1%,100M,80004924,default,,
N133242B-FDRCAD,KOA CORPORATION,33.2K 25PPM SM RES-THIN,80004924,default,,,,,,
N133243B-FFNAAE,KOA CORPORATION,RESISTOR CHIP,80004924,default,,,,,,
N134033B-FENAAC,KAMAYA INC.,RES,TF,3.4KOHMS,1%,100MW,80004869,default,,
N134043B-FENAAC,KOA CORPORATION,RES,TF,34KOHMS,1%,100MW,,80004924,default,
N134823B-FDNCAD,KAMAYA INC.,RES,TF,348OHMS,1%,63MW,0,80004869,default,
N135723B-FENAAC,KAMAYA INC.,RES,TF,357OHMS,1%,100MW,,80004869,default,
N135723B-FFNAAE,KOA CORPORATION,RES,TF,357OHMS,1%,125MW,,80004924,default,
N136023R-FFGAFA,KOA CORPORATION,RES,MO,360OHMS,5%,2W,AXI,80004924,default,
N136025B-FEMAAC,KAMAYA INC.,RES,TF,360OHMS,5%,100MW,,80004869,default,
N136025B-FJMAAE,KAMAYA INC.,RES,TF,360OHMS,5%,250MW,,80004869,default,
N136035B-FDMCAD,KOA CORPORATION,RES SMD 3.6K 5% 63MW 060,80004924,default,,,,,,
N136045B-FDMCAD,KOA CORPORATION,RES,SMD,36K,5%,63MW,603,80004924,default,
N136045B-FEMAAC,KOA CORPORATION,RES,TF,36KOHMS,5%,100MW,,80004924,default,
N136055B-FEMAAC,KAMAYA INC.,RES,TF,360KOHMS,5%,100MW,80004869,default,,
N136533B-FENAAC,KOA CORPORATION,RES 3.65K 1% 0805,80004924,default,,,,,,
N136543B-FENAAC,KAMAYA INC.,RES,TF,36.5KOHMS,1%,100M,80004869,default,,
N136543B-FFNAAE,KOA CORPORATION,RES,TF,36.5KOHMS,1%,125M,80004924,default,,
N139005B-FEMAAC,KOA CORPORATION,RES,TF,3.9OHMS,5%,100MW,,80004924,default,
N139023R-FFGAFA,KOA CORPORATION,RES,MO,390OHMS,5%,2W,AXI,80004924,default,
N139025B-FEMAAC,VISHAY,RES,TF,390OHMS,5%,100MW,,80004877,default,
N139025B-FKMCAF,KAMAYA INC.,RESISTOR CHIP 390,5%,500,80004869,default,,,,
N139035B-FDMCAD,KOA CORPORATION,RES,TF,3.9KOHMS,5%,63MW,,80004924,default,
N139035B-FEMAAC,KOA CORPORATION,RES,TF,3.9KOHMS,5%,100MW,80004924,default,,
N139035B-FFMAAE,KOA CORPORATION,RES,TF,3.9KOHMS,5%,125MW,80004924,default,,
N139045B-FDMCAD,KOA CORPORATION,RES,TF,39KOHMS,5%,63MW,0,80004924,default,
N139045B-FEMAAC,KAMAYA INC.,RES,TF,39KOHMS,5%,100MW,,80004869,default,
N139203B-FJNAAE,KOA CORPORATION,RES, TF 3.92 OHMS 1%,80004924,default,,,,,
N139233B-FENAAC,KOA CORPORATION,RES.CHIP 3.92K/1%/805,80004924,default,,,,,,
N139241R-FCCACA,KOA CORPORATION,RES,MF,39.2KOHMS,1%,250M,80004924,default,,
N139243B-FDMCAD,KOA CORPORATION,RES,TF,39.2KOHMS,1%,63MW,80004924,default,,
N139243B-FDNCAD,KAMAYA INC.,RES,TF,39.2KOHMS,1%,63MW,80004869,default,,
N140221R-FFCAFA,VISHAY,RES,MF,402OHMS,1%,2W,AXI,80004877,default,
N140243B-FENAAC,KAMAYA INC.,RES,TF,40.2KOHMS,1%,100M,80004869,default,,
N141233B-FENAAC,KOA CORPORATION,RES,SMD,4.12K,1%,100MW,0,80004924,default,
N142233B-FENAAC,KAMAYA INC.,RES,TF,4.22KOHMS,1%,100M,80004869,default,,
N142732B-FDRCAD,KOA CORPORATION,RES,MF,4.27KOHMS,0.10%,63M,80004924,default,,
N143015B-FFMAAE,KOA CORPORATION,RES,TF,43OHMS,5%,125MW,1,80004924,default,
N143025B-FDMCAD,KOA CORPORATION,RES,TF,430OHMS,5%,63MW,0,80004924,default,
N143025B-FEMAAC,KOA CORPORATION,RES CHIP 0805 430O,80004924,default,,,,,,
N143025B-FJMAAE,KAMAYA INC.,RES,TF,430OHMS,5%,250MW,,80004869,default,
N143035B-FDMCAD,KOA CORPORATION,RES,TF,4.3KOHMS,5%,100MW,80004924,default,,
N143035B-FJMAAE,KAMAYA INC.,RES,TF,4.3KOHMS,5%,250MW,80004869,default,,
N143045B-FDMCAD,KOA CORPORATION,RES.SMD,43K,5%63MW,603,80004924,default,,,
N143045B-FEMAAC,KOA CORPORATION,RES-CHIP 0805 43K OHM,80004924,default,,,,,,
N143055B-FDMCAD,KOA CORPORATION,RES,SMD,43OK,5%,63MW,60,80004924,default,
N143055B-FEMAAC,KOA CORPORATION,RES,TF,430KOHMS,5%,100MW,80004924,default,,
N143223B-FDNCAD,KOA CORPORATION,RES,TF,432OHMS,1%,63MW,0,80004924,default,
N143223B-FENAAC,KOA CORPORATION,RES,TF,432OHMS,1%,100MW,,80004924,default,
N143233B-FDMCAD,KOA CORPORATION,RES,TF,4.32KOHMS,1%,63MW,80004924,default,,
N143243B-FDNCAD,KAMAYA INC.,RES,TF,43.2KOHMS,1%,63MW,80004869,default,,
N144233B-FENAAC,KOA CORPORATION,RES, 4.42K 1% 0805,80004924,default,,,,,
N145323B-FENAAC,KOA CORPORATION,RES-CHIP-FN74 ST\WH\CTRL,80004924,default,,,,,,
N145333B-FENAAC,KAMAYA INC.,RESISTOR CHIP,80004869,default,,,,,,
N145343B-FENAAC,KOA CORPORATION,RES SMD, 45.3K OHMS 1% 1,80004924,default,,,,,
N146443B-FENAAC,KAMAYA INC.,RES,TF,46.4KOHMS,1%,100M,80004869,default,,
N146443B-FFNAAE,KOA CORPORATION,RES,TF,46.4KOHMS,1%,125M,80004924,default,,
N146443B-FNNDAC,KOA CORPORATION,RES,TF,46.4KOHMS,1%,250M,80004924,default,,
N147005B-FDMCAD,KOA CORPORATION,RES,TF,4.7OHMS,5%,63MW,0,80004924,default,
N147005B-FEMAAC,KOA CORPORATION,RESISTOR CHIP 4.7OHM 5%,80004924,default,,,,,,
N147015B-FDMCAD,KOA CORPORATION,RES,TF,47OHMS,5%,100MW,0,80004924,default,
N147015B-FEMAAC,KAMAYA INC.,RES,TF,47OHMS,5%,100MW,0,80004869,default,
N147015B-FJMAAE,KOA CORPORATION,RES,TF,47OHMS,5%,250MW,1,80004924,default,
N147015B-FNMDAC,KOA CORPORATION,RES,TF,47OHMS,5%,250MW,1,80004924,default,
N147025B-FDMCAD,KOA CORPORATION,RESISTOR CHIP 470,5%,63M,80004924,default,,,,
N147025B-FEMAAC,KAMAYA INC.,RES,TF,470OHMS,5%,100MW,,80004869,default,
N147025B-FJMAAE,KAMAYA INC.,RES,TF,4700HMS,5%,250MW,,80004869,default,
N147033M-FDBBGB,KOA CORPORATION,RESISTOR ASY,80004924,default,,,,,,
N147035B-FDMCAD,KOA CORPORATION,RES,TF,4.7KOHMS,5%,63MW,,80004924,default,
N147035B-FEMAAC,KAMAYA INC.,RES,TF,4.7KOHMS,5%,100MW,80004869,default,,
N147035B-FJMAAE,KAMAYA INC.,RES,TF,4.7KOHMS,5%,250MW,80004869,default,,
N147035B-FNMDAC,KOA CORPORATION,RES,TF,4.7KOHMS,5%,250MW,80004924,default,,
N147035C-FEMAAC,KOA CORPORATION,RES,TF,4.7KOHMS,5%,100MW,80004924,default,,
N147043B-FDMCAD,KAMAYA INC.,RES,TF,47KOHMS,1%,63MW,80004869,default,,
N147045B-FDMCAC,KOA CORPORATION,RES,TF,47KOHMS,5%,63MW,0,80004924,default,
N147045B-FDMCAD,KOA CORPORATION,RES,TF,47KOHMS,5%,63MW,0,80004924,default,
N147045B-FEMAAC,KAMAYA INC.,RES,TF,47KOHMS,5%,100MW,,80004869,default,
N147045B-FNMDAC,KOA CORPORATION,RES,TF,47KOHMS,5%,250MW,,80004924,default,
N147045C-FDMCAD,KOA CORPORATION,RES,TF,47KOHMS,5%,63MW,0,80004924,default,
N147055B-FDMCAD,KOA CORPORATION,RESISTOR,80004924,default,,,,,,
N147055B-FEMAAC,KOA CORPORATION,RES CHIP 470K,80004924,default,,,,,,
N147065B-FEMAAC,KOA CORPORATION,RES,TF,4.7MOHMS,5%,100MW,80004924,default,,
N147523B-FFNAAE,KOA CORPORATION,RES,TF,475OHMS,1%,250MW,,80004924,default,
N147533B-FENAAC,KAMAYA INC.,RES,TF,4.75KOHMS,1%,100M,80004869,default,,
N147543B-FENAAC,KOA CORPORATION,RES,TF,47.5KOHMS,1%,100M,80004924,default,,
N149913B-FDNCAD,KAMAYA INC.,RES,TF,49.9OHMS,1%,63MW,,80004869,default,
N149921R-FECAHA,VISHAY,RES,MF,499OHMS,1%,1W,AXI,80004877,default,
N149923B-FENAAC,KOA CORPORATION,RES,TF,499OHMS,1%,100MW,,80004924,default,
N149933B-FENAAC,KAMAYA INC.,RES. CHIP (4.99K 1/10W 1,80004869,default,,,,,,
N149991B-FFHCBA,VISHAY,RES,WW,499MOHMS,1,80004877,default,,,
N150085B-FFMAAE,KAMAYA INC.,RES,TF,50MOHMS,5%,125MW,,80004869,default,
N151013R-FEBABA,KOA CORPORATION,RES,CF,51OHMS,5%,500MW,A,80004924,default,
N151015B-FDMCAD,KOA CORPORATION,RESISTOR CHIP FOR LOW CO,80004924,default,,,,,,
N151015B-FJMAAE,KAMAYA INC.,RES,TF,51OHMS,5%,250MW,1,80004869,default,
N151015B-FKMCAF,KOA CORPORATION,RESISTOR CHIP,80004924,default,,,,,,
N151023M-FDBBGB,KOA CORPORATION,RES. CF (1.5 1/4W),80004924,default,,,,,,
N151023R-FEBABA,KOA CORPORATION,RES,CF,510OHMS,5%,500MW,,80004924,default,
N151025B-FDMCAD,KOA CORPORATION,RES,TF,510OHMS,5%,63MW,0,80004924,default,
N151025B-FEMAAC,KOA CORPORATION,RES,TF,510OHMS,5%,100MW,,80004924,default,
N151025B-FFMAAE,KOA CORPORATION,RES,TF,510OHMS,5%,125MW,,80004924,default,
N151025B-FJMAAE,KOA CORPORATION,RES,TF,510OHMS,5%,250MW,,80004924,default,
N151033M-FDBBGB,KOA CORPORATION,RESISTOR,80004924,default,,,,,,
N151035B-FDMCAD,KOA CORPORATION,RES,TF,5.1KOHMS,5%,63MW,,80004924,default,
N151035B-FFMAAE,KOA CORPORATION,RES,TF,5.1KOHMS,5%,125MW,80004924,default,,
N151035B-FJMAAE,KOA CORPORATION,RES,TF,5.1KOHMS,5%,250MW,80004924,default,,
N151045B-FDMCAD,KOA CORPORATION,RES,TF,51KOHMS,5%,63MW,0,80004924,default,
N151045B-FEMAAC,KAMAYA INC.,RES,TF,51KOHMS,5%,100MW,,80004869,default,
N151123B-FENAAC,KOA CORPORATION,RES,SMD,511,1%,100MW,80,80004924,default,
N151123B-FKNCAF,KAMAYA INC.,RES,SMD,511,1%,500MW,201,80004869,default,
N151133B-FDNCAD,KAMAYA INC.,RES,TF,5.11KOHMS,1%,63MW,80004869,default,,
N151732B-FDRCAD,KOA CORPORATION,RES,MF,5.17KOHMS,0.10%,63M,80004924,default,,
N152303B-FFMAAE,KOA CORPORATION,RES,TF,5.23OHMS,1%,125MW,80004924,default,,
N152323B-FDNCAD,KAMAYA INC.,RES,TF,523OHMS,1%,63MW,0,80004869,default,
N152337B-FDTCAD,KAMAYA INC.,RES,MF,5.23KOHMS,0.50%,63M,80004869,default,,
N153623B-FFNAAE,KOA CORPORATION,RES,TF,536OHMS,1%,125MW,,80004924,default,
N156015B-FDMCAC,KOA CORPORATION,RES,TF,56OHMS,5%,63MW,4,80004924,default,
N156015B-FEMAAC,KAMAYA INC.,RES,TF,56OHMS,5%,100MW,0,80004869,default,
N156015B-FFMAAE,KAMAYA INC.,RES,TF,56OHMS,5%,250MW,1,80004869,default,
N156023R-FFGAFA,KOA CORPORATION,RES,MO,560OHMS,5%,2W,AXI,80004924,default,
N156025B-FEMAAC,KAMAYA INC.,RES,TF,560OHMS,5%,100MW,,80004869,default,
N156025B-FFMAAE,KOA CORPORATION,RESISTOR CHIP,80004924,default,,,,,,
N156025B-FJMAAE,KAMAYA INC.,RES,TF,560OHMS,5%,250MW,,80004869,default,
N156035B-FDMCAD,KOA CORPORATION,RES,TF,5.6KOHMS,5%,63MW,,80004924,default,
N156035B-FJMAAE,KAMAYA INC.,RES,TF,5.6KOHMS,5%,250MW,80004869,default,,
N156045B-FDMCAD,KOA CORPORATION,RES,TF,56KOHMS,5%,63MW,0,80004924,default,
N156045B-FEMAAC,KOA CORPORATION,RES,TF,56KOHMS,5%,100MW,,80004924,default,
N156243B-FDNCAD,KOA CORPORATION,RES,TF,56.2KOHMS,1%,63MW,80004924,default,,
N160413B-FJNAAE,KAMAYA INC.,RES,TF,60.4OHMS,1%,250MW,80004869,default,,
N160433B-FDMCAD,KOA CORPORATION,RES,SMD,6.04 KOHMS,80004924,default,,,,
N160443B-FENAAC,KOA CORPORATION,RES,TF,60.4KOHMS,1%,100M,80004924,default,,
N161923B-FENAAC,KAMAYA INC.,RES,TF,619OHMS,1%,100MW,,80004869,default,
N161943B-FDMCAD,KAMAYA INC.,RES,SMD,61.9K,1%,63MW,6,80004869,default,
N161943B-FFNAAE,KOA CORPORATION,RES,TF,61.9KOHMS,5%,125M,80004924,default,,
N162013B-FFNAAE,KOA CORPORATION,RES,TF,62OHMS,1%,250MW,1,80004924,default,
N162023M-FEBBGB,KOA CORPORATION,RES CF (10K 1/4W 5%),80004924,default,,,,,,
N162025B-FEMAAC,KAMAYA INC.,RES (SMD,620,5%, 100MW,80004869,default,,,
N162025B-FFMAAE,KOA CORPORATION,RES,TF,620OHMS,5%,125MW,,80004924,default,
N162025B-FJMAAE,KAMAYA INC.,RES,TF,620OHMS,5%,250MW,,80004869,default,
N162025B-FKMCAF,KOA CORPORATION,RES,TF,620OHMS,5%,500MW,,80004924,default,
N162035B-FEMAAC,KAMAYA INC.,RES,TF,6.2KOHMS,5%,100MW,80004869,default,,
N162045B-FDMCAC,KOA CORPORATION,RES,TF,62KOHMS,5%,63MW,0,80004924,default,
N162045B-FDMCAD,KOA CORPORATION,RES,TF,62KOHMS,5%,63MW,0,80004924,default,
