Part_Number,Supplier,Description,Supplier_Location_Code,Added,Last_Modification,,,,,
3GZF-14A624-AA,TE CONNECTIVITY LTD,CONN I/O - THRU HOLE HEA,80019476,default,,,,,,
3L34-10D922-AA,FUTABA CORPORATION,VF DISPLAY,80021729,default,,,,,,
3LAF-18B925-CA,MURATA MANUFACTURING CO LTD,FILTER (SF1141B / 75 MHZ,80017190,default,,,,,,
3LAF-18B925-CA,RF MONOLITHICS INC,FILTER (SF1141B / 75 MHZ,80017190,default,,,,,,
3RPF-18B953-AA,ALPS ELECTRIC,SMD SWITCH,80002172,default,,,,,,
3S7F-18B953-BA,PANASONIC CORPORATION,LIGHT TOUCH SWITCH,80016009,default,,,,,,
3W1F-14A615-GB,CHIN POON INDUSTRIAL CO LTD,FN145 DDM 2-UP PWB PANEL,80005091,default,,,,,,
3W4H-10D922-BA,FUTABA CORPORATION,DISPLAY,80021729,default,,,,,,
4L1H-14A649-AA,TE CONNECTIVITY LTD,JUMPER RIBBON CABLE,80016666,default,,,,,,
4L3H-18D423-AD,ACCUDYN PRODUCTS INC,P/BTN A/C & HTR TEMP CON,80007148,default,,,,,,
4L3H-19A497-AA,COMPUTYPE, INC,LABEL FOR CONNECTOR,80010417,default,,,,,
4L3H-19A497-AA,IMPRENTA OCHOA SA DE CV,LABEL FOR CONNECTOR,80010417,default,,,,,,
4L3T-14A624-FA,TE CONNECTIVITY LTD,CONNECTOR 18 WAY P221,80004939,default,,,,,,
4NAH-18B914-BB,ALPS ELECTRIC,ELEC,POT,PWB-TH-ROT,80002172,default,,,,
4NAH-19A945-CA,ALPS ELECTRIC,TACT SWITCH,80002172,default,,,,,,
4S6F-14A459-AA,TE CONNECTIVITY LTD,CONNECTOR,80004939,default,,,,,,
5921D-40MT5-D,ROSENBERGER,FAKRA - RIGHT ANGLE,80007449,default,,,,,,
5F9H-14A615-CB,VIASYSTEMS INC,PANEL W/ ARTWORK,80018195,default,,,,,,
5NEH-19D840-BC,KEY PLASTICS LLC,REAR HOUSING MANUAL,80004997,default,,,,,,
7L24-13005-AB,GENERA CORPORATION,LAMP ASSEMBLY -HEADLAMP,80026528,default,,,,,,
7L24-13006-AB,GENERA CORPORATION,LAMP ASSEMBLY - HEADLAMP,80026528,default,,,,,,
96FP-19C733-AA,PIHER SENSORS & CONTROLS,POTENTIOMETER10 KOHM LIN,80005047,default,,,,,,
98BP-10C981-AB,NIFCO INC,COVER-WARNING INDICATOR,80005016,default,,,,,,
BKP0603-HS220-TV,TAIYO YUDEN,FERRITE BEAD 22OHMS@100M,80034477,default,,,,,,
C210347B-FKA001,MURATA MANUFACTURING CO LTD,CAP-CERM 10NF,10%,50V,X7,80027755,default,,,
C210407B-FKEA01,MURATA MANUFACTURING CO LTD,CAP-CERM 100NF,10%,6.3V,80027755,default,,,,
C210407B-FKEA01,TAIYO YUDEN,CAP-CERM 100NF,10%,6.3V,80027755,default,,,,
